beta,stability,morality,cycle length,generation count,seed
0.18,1.0,0.024,1,5,19561899
0.18,1.0,0.0,1,4,19561900
0.18,1.0,0.019,1,4,19561901
0.18,1.0,0.008,1,5,19561902
0.18,1.0,0.035,1,5,19561903
0.18,1.0,0.036,1,6,19561904
0.18,1.0,0.01,1,8,19561905
0.18,1.0,0.017,1,5,19561906
0.18,1.0,0.011,1,5,19561907
0.18,1.0,0.0,1,4,19561908
0.18,1.0,0.074,1,9,19561909
0.18,1.0,0.049,1,5,19561910
0.18,1.0,0.007,1,4,19561911
0.18,1.0,0.032,1,5,19561912
0.18,1.0,0.0,1,4,19561913
0.18,1.0,0.019,1,5,19561914
0.18,1.0,0.007,1,5,19561915
0.18,1.0,0.007,1,4,19561916
0.18,1.0,0.014,1,5,19561917
0.18,1.0,0.008,1,5,19561918
0.18,1.0,0.005,1,5,19561919
0.18,1.0,0.022,1,5,19561920
0.18,1.0,0.013,1,5,19561921
0.18,1.0,0.015,1,5,19561922
0.18,1.0,0.011,1,4,19561923
0.18,1.0,0.008,1,5,19561924
0.18,1.0,0.0,1,4,19561925
0.18,1.0,0.007,1,5,19561926
0.18,1.0,0.005,1,4,19561927
0.18,1.0,0.0,1,4,19561928
0.18,1.0,0.029,1,6,19561929
0.18,1.0,0.024,1,5,19561930
0.28,1.0,0.032,1,5,19561831
0.28,1.0,0.022,1,5,19561832
0.28,1.0,0.0,1,3,19561833
0.28,1.0,0.0,1,4,19561834
0.28,1.0,0.0,1,4,19561835
0.28,1.0,0.0,1,4,19561836
0.28,1.0,0.019,1,4,19561837
0.28,1.0,0.022,1,6,19561838
0.28,1.0,0.0,1,4,19561839
0.28,1.0,0.0,1,5,19561840
0.28,1.0,0.007,1,4,19561841
0.28,1.0,0.015,1,5,19561842
0.28,1.0,0.0,1,4,19561843
0.28,1.0,0.016,1,6,19561844
0.28,1.0,0.006,1,5,19561845
0.28,0.5,0.066,2,7,19561846
0.28,0.5,0.036,2,5,19561847
0.28,1.0,0.005,1,5,19561848
0.28,1.0,0.029,1,4,19561849
0.28,1.0,0.03,1,5,19561850
0.28,1.0,0.018,1,4,19561851
0.28,0.5,0.0275,2,8,19561852
0.28,1.0,0.007,1,4,19561853
0.28,1.0,0.015,1,4,19561854
0.28,1.0,0.016,1,5,19561855
0.28,1.0,0.01,1,5,19561856
0.28,1.0,0.008,1,5,19561857
0.28,1.0,0.0,1,5,19561858
0.28,1.0,0.006,1,4,19561859
0.28,1.0,0.035,1,7,19561860
0.28,1.0,0.006,1,4,19561861
0.28,1.0,0.048,1,6,19561862
0.28,1.0,0.0,1,5,19561863
0.28,1.0,0.012,1,4,19561864
0.28,1.0,0.021,1,5,19561865
0.28,1.0,0.0,1,4,19561866
0.28,1.0,0.022,1,6,19561867
0.28,1.0,0.006,1,5,19561868
0.28,1.0,0.016,1,4,19561869
0.28,1.0,0.018,1,4,19561870
0.28,1.0,0.022,1,4,19561871
0.28,1.0,0.0,1,5,19561872
0.28,1.0,0.006,1,6,19561873
0.28,1.0,0.014,1,4,19561874
0.28,1.0,0.0,1,3,19561875
0.28,1.0,0.021,1,5,19561876
0.28,1.0,0.007,1,5,19561877
0.28,1.0,0.0,1,4,19561878
0.28,1.0,0.022,1,4,19561879
0.28,1.0,0.014,1,5,19561880
0.28,1.0,0.007,1,4,19561881
0.28,1.0,0.009,1,4,19561882
0.28,1.0,0.0,1,4,19561883
0.28,1.0,0.028,1,6,19561884
0.28,1.0,0.0,1,5,19561885
0.28,1.0,0.015,1,5,19561886
0.28,1.0,0.01,1,5,19561887
0.28,1.0,0.01,1,5,19561888
0.28,1.0,0.005,1,4,19561889
0.28,1.0,0.0,1,4,19561890
