mutation probability,stability,morality,cycle length,generation count,seed
0.1,0.001,0.0394,0,1000,19561882
0.1,0.001,0.0344,0,1000,19561883
0.1,0.001,0.0321,0,1000,19561884
0.1,0.001,0.0353,0,1000,19561885
0.1,0.001,0.036,0,1000,19561886
0.1,0.001,0.0348,0,1000,19561887
0.1,0.001,0.0366,0,1000,19561888
0.1,0.001,0.035,0,1000,19561889
0.1,0.001,0.0364,0,1000,19561890
0.1,0.001,0.0347,0,1000,19561891
0.1,0.001,0.037,0,1000,19561892
0.1,0.001,0.0337,0,1000,19561893
0.1,0.001,0.0367,0,1000,19561894
0.1,0.001,0.0343,0,1000,19561895
0.1,0.001,0.0335,0,1000,19561896
0.1,0.001,0.0377,0,1000,19561897
0.1,0.001,0.0356,0,1000,19561898
0.1,0.001,0.0383,0,1000,19561899
0.1,0.001,0.0388,0,1000,19561900
0.1,0.001,0.0363,0,1000,19561901
0.1,0.001,0.0348,0,1000,19561902
0.1,0.001,0.0371,0,1000,19561903
0.1,0.001,0.0387,0,1000,19561904
0.1,0.001,0.0342,0,1000,19561905
0.1,0.001,0.0347,0,1000,19561906
0.1,0.001,0.0363,0,1000,19561907
0.1,0.001,0.038,0,1000,19561908
0.1,0.001,0.0332,0,1000,19561909
0.1,0.001,0.0389,0,1000,19561910
0.1,0.001,0.0343,0,1000,19561911
0.1,0.001,0.0364,0,1000,19561912
